SCHOOL_YEAR,SCH_NAME,LEA_NAME,STATE,ST,MCITY,MSTATE,NCESSCH,SCHID,LAT,LON,LOCALE
2023-2024,Telfair County High School,Telfair County,GEORGIA,GA,Mc Rae Helena,GA,130483002442,1302442,32.0468,-82.9109,43
2023-2024,Terrell High School,Terrell County,GEORGIA,GA,Dawson,GA,130486001658,1301658,31.756389,-84.414776,42
2023-2024,The Renaissance Center for Academic and Career Development,Thomas County,GEORGIA,GA,Thomasville,GA,130489004152,1304152,30.858874,-83.952305,32
2023-2024,Thomasville High School,Thomasville City,GEORGIA,GA,Thomasville,GA,130495001673,1301673,30.8401,-83.9711,32
2023-2024,Tift County High School,Tift County,GEORGIA,GA,Tifton,GA,130498002282,1302282,31.47041,-83.476488,32
2023-2024,Toombs County High School,Toombs County,GEORGIA,GA,Lyons,GA,130504001693,1301693,32.192253,-82.336483,41
2023-2024,Towns County High School,Towns County,GEORGIA,GA,Hiawassee,GA,130507002999,1302999,34.9311,-83.7311,43
2023-2024,Trion High School,Trion City,GEORGIA,GA,Trion,GA,130513002467,1302467,34.5383,-85.325,41
2023-2024,Turner County High School,Turner County,GEORGIA,GA,Ashburn,GA,130519001712,1301712,31.706019,-83.642058,32
2023-2024,Twiggs County High School,Twiggs County,GEORGIA,GA,Jeffersonville,GA,130522002446,1302446,32.682791,-83.358139,42
2023-2024,Union County High School,Union County,GEORGIA,GA,Blairsville,GA,130525001720,1301720,34.880022,-83.946424,43
2023-2024,Upson-Lee High School,Thomaston-Upson County,GEORGIA,GA,Thomaston,GA,130528001724,1301724,32.8989,-84.2933,41
2023-2024,Valdosta High School,Valdosta City,GEORGIA,GA,Valdosta,GA,130531001732,1301732,30.86856,-83.233987,41
2023-2024,Vidalia Comprehensive High School,Vidalia City,GEORGIA,GA,Vidalia,GA,130534001739,1301739,32.228778,-82.424011,33
2023-2024,Ridgeland High School,Walker County,GEORGIA,GA,Rossville,GA,130537002093,1302093,34.9492,-85.3143,41
2023-2024,LaFayette High School,Walker County,GEORGIA,GA,La Fayette,GA,130537002286,1302286,34.718519,-85.261153,31
2023-2024,Monroe Area High School,Walton County,GEORGIA,GA,Monroe,GA,130539001772,1301772,33.8191,-83.736,31
2023-2024,Loganville High School,Walton County,GEORGIA,GA,Loganville,GA,130539002288,1302288,33.834415,-83.868923,21
2023-2024,Walnut Grove High School,Walton County,GEORGIA,GA,Loganville,GA,130539003901,1303901,33.754065,-83.872991,21
2023-2024,Ware County High School,Ware County,GEORGIA,GA,Waycross,GA,130543001777,1301777,31.1975,-82.3883,33
2023-2024,Warren County High School,Warren County,GEORGIA,GA,Warrenton,GA,130546001782,1301782,33.4179,-82.6801,42
2023-2024,Washington County High School,Washington County,GEORGIA,GA,Sandersville,GA,130549001788,1301788,32.9696,-82.8045,33
2023-2024,Wayne County High School,Wayne County,GEORGIA,GA,Jesup,GA,130555001800,1301800,31.6172,-81.9184,32
2023-2024,Webster County High School,Webster County,GEORGIA,GA,Preston,GA,130558003575,1303575,32.062355,-84.542013,43
2023-2024,Wheeler County High School,Wheeler County,GEORGIA,GA,Alamo,GA,130564001811,1301811,32.154651,-82.775634,43
2023-2024,White County High School,White County,GEORGIA,GA,Cleveland,GA,130567001870,1301870,34.618,-83.7924,42
2023-2024,Phoenix High School,Whitfield County,GEORGIA,GA,Dalton,GA,130570001073,1301073,34.782975,-84.921441,23
2023-2024,Southeast Whitfield County High School,Whitfield County,GEORGIA,GA,Dalton,GA,130570001818,1301818,34.7341,-84.9393,23
2023-2024,Northwest Whitfield County High School,Whitfield County,GEORGIA,GA,Tunnel Hill,GA,130570001819,1301819,34.877,-84.9971,41
2023-2024,Coahulla Creek High School,Whitfield County,GEORGIA,GA,Dalton,GA,130570004053,1304053,34.9003,-84.9174,41
2023-2024,Wilcox County High School,Wilcox County,GEORGIA,GA,Rochelle,GA,130573002232,1302232,31.939569,-83.445133,43
2023-2024,Washington-Wilkes Comprehensive High School,Wilkes County,GEORGIA,GA,Washington,GA,130576003852,1303852,33.759896,-82.734376,43
2023-2024,Wilkinson County High School,Wilkinson County,GEORGIA,GA,Irwinton,GA,130579001841,1301841,32.8251,-83.2136,42
2023-2024,Worth County High School,Worth County,GEORGIA,GA,Sylvester,GA,130585001849,1301849,31.549862,-83.84073,32
2023-2024,Kailua High School,Hawaii Department of Education,HAWAII,HI,Kailua,HI,150003000009,1500009,21.385067,-157.74776,22
2023-2024,Kalaheo High School,Hawaii Department of Education,HAWAII,HI,Kailua,HI,150003000012,1500012,21.408113,-157.757387,22
2023-2024,Hilo High School,Hawaii Department of Education,HAWAII,HI,Hilo,HI,150003000029,1500029,19.721774,-155.096713,33
2023-2024,Kohala High School,Hawaii Department of Education,HAWAII,HI,Kapaau,HI,150003000043,1500043,20.238836,-155.818491,43
2023-2024,Konawaena High School,Hawaii Department of Education,HAWAII,HI,Kealakekua,HI,150003000045,1500045,19.509758,-155.915333,41
2023-2024,Waiakea High School,Hawaii Department of Education,HAWAII,HI,Hilo,HI,150003000052,1500052,19.698909,-155.076625,33
2023-2024,Henry Perrine Baldwin High School,Hawaii Department of Education,HAWAII,HI,Wailuku,HI,150003000056,1500056,20.890858,-156.491099,13
2023-2024,Lahainaluna High School,Hawaii Department of Education,HAWAII,HI,Lahaina,HI,150003000069,1500069,20.888993,-156.658132,41
2023-2024,Maui High School,Hawaii Department of Education,HAWAII,HI,Kahului,HI,150003000073,1500073,20.874323,-156.472451,13
2023-2024,Molokai High School,Hawaii Department of Education,HAWAII,HI,Hoolehua,HI,150003000075,1500075,21.163578,-157.0483,43
2023-2024,Kapaa High School,Hawaii Department of Education,HAWAII,HI,Kapaa,HI,150003000085,1500085,22.091075,-159.311509,33
2023-2024,Kauai High School,Hawaii Department of Education,HAWAII,HI,Lihue,HI,150003000086,1500086,21.958728,-159.359981,33
2023-2024,Waimea High School,Hawaii Department of Education,HAWAII,HI,Waimea,HI,150003000093,1500093,21.95781,-159.668121,33
2023-2024,Castle High School,Hawaii Department of Education,HAWAII,HI,Kaneohe,HI,150003000100,1500100,21.40318,-157.794653,22
2023-2024,Mililani High School,Hawaii Department of Education,HAWAII,HI,Mililani,HI,150003000102,1500102,21.453997,-158.009303,21
2023-2024,Moanalua High School,Hawaii Department of Education,HAWAII,HI,Honolulu,HI,150003000103,1500103,21.347097,-157.899688,11
2023-2024,Leilehua High School,Hawaii Department of Education,HAWAII,HI,Wahiawa,HI,150003000108,1500108,21.501015,-158.012252,21
2023-2024,Waianae High School,Hawaii Department of Education,HAWAII,HI,Waianae,HI,150003000110,1500110,21.455422,-158.199658,21
2023-2024,Pearl City High School,Hawaii Department of Education,HAWAII,HI,Pearl City,HI,150003000114,1500114,21.413747,-157.951379,21
2023-2024,James Campbell High School,Hawaii Department of Education,HAWAII,HI,Ewa Beach,HI,150003000134,1500134,21.315597,-158.007986,21
2023-2024,Admiral Arthur W Radford High School,Hawaii Department of Education,HAWAII,HI,Honolulu,HI,150003000150,1500150,21.359537,-157.928105,21
2023-2024,Waipahu High School,Hawaii Department of Education,HAWAII,HI,Waipahu,HI,150003000161,1500161,21.389251,-157.993039,21
2023-2024,Kalani High School,Hawaii Department of Education,HAWAII,HI,Honolulu,HI,150003000163,1500163,21.279228,-157.77329,21
2023-2024,Aiea High School,Hawaii Department of Education,HAWAII,HI,Aiea,HI,150003000177,1500177,21.384469,-157.929743,21
2023-2024,President Theodore Roosevelt High School,Hawaii Department of Education,HAWAII,HI,Honolulu,HI,150003000186,1500186,21.310443,-157.837222,11
2023-2024,President William McKinley High School,Hawaii Department of Education,HAWAII,HI,Honolulu,HI,150003000193,1500193,21.299808,-157.848716,11
2023-2024,Kaimuki High School,Hawaii Department of Education,HAWAII,HI,Honolulu,HI,150003000212,1500212,21.286492,-157.81653,11
2023-2024,Governor Wallace Rider Farrington High School,Hawaii Department of Education,HAWAII,HI,Honolulu,HI,150003000221,1500221,21.330988,-157.873522,11
2023-2024,Henry J Kaiser High School,Hawaii Department of Education,HAWAII,HI,Honolulu,HI,150003000228,1500228,21.284058,-157.695891,21
2023-2024,King Kekaulike High School,Hawaii Department of Education,HAWAII,HI,Pukalani,HI,150003000251,1500251,20.827897,-156.327074,41
2023-2024,Kealakehe High School,Hawaii Department of Education,HAWAII,HI,Kailua-Kona,HI,150003000254,1500254,19.669007,-155.99934,33
2023-2024,Keaau High School,Hawaii Department of Education,HAWAII,HI,Keaau,HI,150003000260,1500260,19.612481,-155.031565,42
2023-2024,Kapolei High School,Hawaii Department of Education,HAWAII,HI,Kapolei,HI,150003000261,1500261,21.328834,-158.06871,21
2023-2024,Kapolei Charter School by Goodwill Hawaii,Hawaii Department of Education,HAWAII,HI,Kapolei,HI,150003000302,1500302,21.318517,-158.091082,41
2023-2024,PRIEST RIVER LAMANNA HIGH,WEST BONNER COUNTY DISTRICT,IDAHO,ID,PRIEST RIVER,ID,160000100084,1600084,48.189478,-116.917391,43
2023-2024,SANDPOINT HIGH SCHOOL,LAKE PEND OREILLE SCHOOL DISTRICT,IDAHO,ID,SANDPOINT,ID,160000200087,1600087,48.267939,-116.570742,32
2023-2024,LAKE PEND OREILLE HIGH SCHOOL,LAKE PEND OREILLE SCHOOL DISTRICT,IDAHO,ID,SANDPOINT,ID,160000200691,1600691,48.282801,-116.557675,32
2023-2024,INSIGHT SCHOOL OF IDAHO,IDAHO VIRTUAL ACADEMY INC.,IDAHO,ID,MERIDIAN,ID,160000401035,1601035,43.587082,-116.355531,21
2023-2024,RICHARD MCKENNA CHARTER SCHOOL - ONLINE,IDAHO VIRTUAL HIGH SCHOOL INC.,IDAHO,ID,MOUNTAIN HOME,ID,160000500862,1600862,43.125336,-115.70284,32
2023-2024,RICHARD MCKENNA CHARTER SCHOOL - ONLINE ALTERNATIVE,IDAHO VIRTUAL HIGH SCHOOL INC.,IDAHO,ID,MOUNTAIN HOME,ID,160000501056,1601056,43.137137,-115.675564,32
2023-2024,RICHARD MCKENNA CHARTER SCHOOL - ONSITE,IDAHO VIRTUAL HIGH SCHOOL INC.,IDAHO,ID,MOUNTAIN HOME,ID,160000501108,1601108,43.125336,-115.70284,32
2023-2024,Robert Janss School,IDAHO DEPARTMENT OF CORRECTIONS,IDAHO,ID,BOISE,ID,160001700921,1600921,43.615609,-116.244495,12
2023-2024,ABERDEEN HIGH SCHOOL,ABERDEEN DISTRICT,IDAHO,ID,ABERDEEN,ID,160003000002,1600002,42.941254,-112.845456,42
2023-2024,AMERICAN FALLS HIGH SCHOOL,AMERICAN FALLS JOINT DISTRICT,IDAHO,ID,AMERICAN FALLS,ID,160006000003,1600003,42.766373,-112.865739,42
2023-2024,GRANGEVILLE HIGH SCHOOL,MOUNTAIN VIEW SCHOOL DISTRICT,IDAHO,ID,GRANGEVILLE,ID,160013900937,1600937,45.918688,-116.130928,43
2023-2024,iSucceed Academy,ISUCCEED VIRTUAL HIGH SCHOOL INC.,IDAHO,ID,BOISE,ID,160014401111,1601111,43.6607,-116.340851,12
2023-2024,KOOTENAI BRIDGE ACADEMY,THE KOOTENAI BRIDGE ACADEMY INC.,IDAHO,ID,COEUR D'ALENE,ID,160014900992,1600992,47.67889,-116.792214,13
2023-2024,KTEC School,KTEC - Kootenai Tech Ed Campus,IDAHO,ID,RATHDRUM,ID,160016701068,1601068,47.786866,-116.878333,41
2023-2024,BINGHAM ACADEMY,IDAHO STEM ACADEMY INC.,IDAHO,ID,BLACKFOOT,ID,160016901067,1601067,43.194075,-112.361784,32
2023-2024,IDAHO TECHNICAL CAREER ACADEMY,IDAHO COLLEGE AND CAREER READINESS ACADEMY INC.,IDAHO,ID,MERIDIAN,ID,160017101069,1601069,43.587082,-116.355531,21
2023-2024,PATHWAYS IN EDUCATION: NAMPA,PATHWAYS IN EDUCATION - NAMPA INC.,IDAHO,ID,NAMPA,ID,160018301098,1601098,43.567688,-116.563385,22
2023-2024,CARDINAL ACADEMY,CARDINAL ACADEMY INCORPORATED,IDAHO,ID,BOISE,ID,160020001151,1601151,43.610148,-116.300254,12
2023-2024,BEAR LAKE HIGH SCHOOL,BEAR LAKE COUNTY DISTRICT,IDAHO,ID,MONTPELIER,ID,160024000018,1600018,42.329448,-111.29596,43
2023-2024,CLOVER CREEK HIGH SCHOOL,BEAR LAKE COUNTY DISTRICT,IDAHO,ID,MONTPELIER,ID,160024000827,1600827,42.316418,-111.304186,43
2023-2024,BLACKFOOT HIGH SCHOOL,BLACKFOOT DISTRICT,IDAHO,ID,BLACKFOOT,ID,160027000022,1600022,43.179334,-112.34583,32
2023-2024,WOOD RIVER HIGH SCHOOL,BLAINE COUNTY DISTRICT,IDAHO,ID,HAILEY,ID,160030000038,1600038,43.517328,-114.293517,33
2023-2024,SILVER CREEK HIGH SCHOOL,BLAINE COUNTY DISTRICT,IDAHO,ID,HAILEY,ID,160030000197,1600197,43.5153,-114.292418,33
2023-2024,BOISE SENIOR HIGH SCHOOL,BOISE INDEPENDENT DISTRICT,IDAHO,ID,BOISE,ID,160036000044,1600044,43.621385,-116.202415,12
2023-2024,BORAH SENIOR HIGH SCHOOL,BOISE INDEPENDENT DISTRICT,IDAHO,ID,BOISE,ID,160036000045,1600045,43.597053,-116.258654,12
2023-2024,CAPITAL SENIOR HIGH SCHOOL,BOISE INDEPENDENT DISTRICT,IDAHO,ID,BOISE,ID,160036000047,1600047,43.643853,-116.2825,12
2023-2024,TIMBERLINE HIGH SCHOOL,BOISE INDEPENDENT DISTRICT,IDAHO,ID,BOISE,ID,160036000643,1600643,43.577243,-116.17444,12
2023-2024,BONNERS FERRY HIGH SCHOOL,BOUNDARY COUNTY DISTRICT,IDAHO,ID,BONNERS FERRY,ID,160042000089,1600089,48.677064,-116.323305,43
2023-2024,BUHL HIGH SCHOOL,BUHL JOINT DISTRICT,IDAHO,ID,BUHL,ID,160048000102,1600102,42.606586,-114.761482,42
2023-2024,WAKAPA ACADEMY,BUHL JOINT DISTRICT,IDAHO,ID,BUHL,ID,160048001106,1601106,42.607449,-114.757931,42
2023-2024,CANYON SPRINGS HIGH SCHOOL,CALDWELL DISTRICT,IDAHO,ID,CALDWELL,ID,160051000041,1600041,43.667384,-116.679277,22
2023-2024,CALDWELL SENIOR HIGH SCHOOL,CALDWELL DISTRICT,IDAHO,ID,CALDWELL,ID,160051000104,1600104,43.640062,-116.6711,22
2023-2024,CAMAS COUNTY HIGH SCHOOL,CAMAS COUNTY DISTRICT,IDAHO,ID,FAIRFIELD,ID,160054000111,1600111,43.347126,-114.791235,43
2023-2024,VALLIVUE HIGH SCHOOL,VALLIVUE SCHOOL DISTRICT,IDAHO,ID,CALDWELL,ID,160060000118,1600118,43.619922,-116.68081,22
2023-2024,VALLIVUE ACADEMY,VALLIVUE SCHOOL DISTRICT,IDAHO,ID,CALDWELL,ID,160060000914,1600914,43.62711,-116.632051,22
2023-2024,RIDGEVUE HIGH SCHOOL,VALLIVUE SCHOOL DISTRICT,IDAHO,ID,NAMPA,ID,160060001078,1601078,43.646115,-116.561982,41
2023-2024,BURLEY SENIOR HIGH SCHOOL,CASSIA COUNTY JOINT DISTRICT,IDAHO,ID,BURLEY,ID,160066000124,1600124,42.526505,-113.804174,32
2023-2024,DECLO SENIOR HIGH SCHOOL,CASSIA COUNTY JOINT DISTRICT,IDAHO,ID,DECLO,ID,160066000127,1600127,42.516605,-113.621774,42
2023-2024,CASSIA REGIONAL TECHNICAL CENTER,CASSIA COUNTY JOINT DISTRICT,IDAHO,ID,BURLEY,ID,160066000782,1600782,42.532591,-113.805978,32
2023-2024,COEUR D'ALENE HIGH SCHOOL,COEUR D'ALENE DISTRICT,IDAHO,ID,COEUR D'ALENE,ID,160078000149,1600149,47.721028,-116.777289,13
2023-2024,LAKE CITY HIGH SCHOOL,COEUR D'ALENE DISTRICT,IDAHO,ID,COEUR D'ALENE,ID,160078000291,1600291,47.728011,-116.81037,13
2023-2024,LAKESIDE HIGH SCHOOL,PLUMMER-WORLEY JOINT DISTRICT,IDAHO,ID,PLUMMER,ID,160081500720,1600720,47.333407,-116.890619,42
2023-2024,HILLCREST HIGH SCHOOL,BONNEVILLE JOINT DISTRICT,IDAHO,ID,AMMON,ID,160093000024,1600024,43.470668,-111.977337,22
2023-2024,BONNEVILLE HIGH SCHOOL,BONNEVILLE JOINT DISTRICT,IDAHO,ID,IDAHO FALLS,ID,160093000169,1600169,43.527148,-111.971677,22
2023-2024,TECHNICAL CAREERS HIGH SCHOOL,BONNEVILLE JOINT DISTRICT,IDAHO,ID,IDAHO FALLS,ID,160093001063,1601063,43.527452,-111.965349,22
2023-2024,THUNDER RIDGE HIGH SCHOOL,BONNEVILLE JOINT DISTRICT,IDAHO,ID,IDAHO FALLS,ID,160093001097,1601097,43.499155,-111.936118,41
2023-2024,PRESTON HIGH SCHOOL,PRESTON JOINT DISTRICT,IDAHO,ID,PRESTON,ID,160096000182,1600182,42.092497,-111.872547,42
2023-2024,FRANKLIN COUNTY HIGH SCHOOL,PRESTON JOINT DISTRICT,IDAHO,ID,PRESTON,ID,160096000764,1600764,42.09602,-111.879084,42
2023-2024,EMMETT HIGH SCHOOL,EMMETT INDEPENDENT DISTRICT,IDAHO,ID,EMMETT,ID,160102000187,1600187,43.864037,-116.508638,32
2023-2024,FILER HIGH SCHOOL,FILER DISTRICT,IDAHO,ID,FILER,ID,160105000194,1600194,42.565539,-114.595847,41
2023-2024,FIRTH HIGH SCHOOL,FIRTH DISTRICT,IDAHO,ID,FIRTH,ID,160108000198,1600198,43.306883,-112.187268,42
2023-2024,SOUTH FREMONT HIGH SCHOOL,FREMONT COUNTY JOINT DISTRICT,IDAHO,ID,ST ANTHONY,ID,160111000205,1600205,43.974995,-111.684266,42
2023-2024,FRUITLAND HIGH SCHOOL,FRUITLAND DISTRICT,IDAHO,ID,FRUITLAND,ID,160114000212,1600212,44.005762,-116.917758,32
2023-2024,GLENNS FERRY HIGH SCHOOL,GLENNS FERRY JOINT DISTRICT,IDAHO,ID,GLENNS FERRY,ID,160123000220,1600220,42.958226,-115.309859,43
2023-2024,GOODING HIGH SCHOOL,GOODING JOINT DISTRICT,IDAHO,ID,GOODING,ID,160126000224,1600224,42.939819,-114.726104,43
2023-2024,GOODING ALTERNATIVE LEARNING CENTER,GOODING JOINT DISTRICT,IDAHO,ID,GOODING,ID,160126001161,1601161,42.935967,-114.712443,43
2023-2024,HOMEDALE HIGH SCHOOL,HOMEDALE JOINT DISTRICT,IDAHO,ID,HOMEDALE,ID,160147000248,1600248,43.618179,-116.930212,42
2023-2024,IDAHO FALLS SENIOR HIGH SCHOOL,IDAHO FALLS DISTRICT,IDAHO,ID,IDAHO FALLS,ID,160153000262,1600262,43.492493,-112.023092,13
2023-2024,SKYLINE SENIOR HIGH SCHOOL,IDAHO FALLS DISTRICT,IDAHO,ID,IDAHO FALLS,ID,160153000268,1600268,43.486957,-112.067296,13
2023-2024,EMERSON HIGH SCHOOL,IDAHO FALLS DISTRICT,IDAHO,ID,IDAHO FALLS,ID,160153000697,1600697,43.493676,-112.027763,13
2023-2024,CAREER & TECHNICAL EDUCATION CENTER,IDAHO FALLS DISTRICT,IDAHO,ID,IDAHO FALLS,ID,160153000784,1600784,43.497003,-112.038258,13
2023-2024,COMPASS ACADEMY,IDAHO FALLS DISTRICT,IDAHO,ID,IDAHO FALLS,ID,160153001043,1601043,43.501727,-112.011931,13
2023-2024,RIGBY HIGH SCHOOL,JEFFERSON COUNTY JOINT DISTRICT,IDAHO,ID,RIGBY,ID,160157000277,1600277,43.667174,-111.937438,31
2023-2024,JEROME HIGH SCHOOL,JEROME JOINT DISTRICT,IDAHO,ID,JEROME,ID,160159000284,1600284,42.7254,-114.499182,31
2023-2024,KAMIAH SENIOR HIGH,KAMIAH JOINT DISTRICT,IDAHO,ID,KAMIAH,ID,160162000457,1600457,46.223186,-116.029784,43
2023-2024,KELLOGG HIGH SCHOOL,KELLOGG JOINT DISTRICT,IDAHO,ID,KELLOGG,ID,160165000293,1600293,47.551283,-116.128331,43
2023-2024,KIMBERLY HIGH SCHOOL,KIMBERLY DISTRICT,IDAHO,ID,KIMBERLY,ID,160171000635,1600635,42.531946,-114.373619,23
2023-2024,KUNA HIGH SCHOOL,KUNA JOINT DISTRICT,IDAHO,ID,KUNA,ID,160177000307,1600307,43.501768,-116.405903,31
2023-2024,SWAN FALLS HIGH SCHOOL,KUNA JOINT DISTRICT,IDAHO,ID,MERIDIAN,ID,160177001127,1601127,43.537625,-116.412013,41
2023-2024,LAKELAND SENIOR HIGH SCHOOL,LAKELAND DISTRICT,IDAHO,ID,RATHDRUM,ID,160180000311,1600311,47.815568,-116.879441,31
2023-2024,TIMBERLAKE SENIOR HIGH SCHOOL,LAKELAND DISTRICT,IDAHO,ID,SPIRIT LAKE,ID,160180000843,1600843,47.954066,-116.864303,42
2023-2024,LEWISTON HIGH SCHOOL,LEWISTON INDEPENDENT DISTRICT,IDAHO,ID,LEWISTON,ID,160186000323,1600323,46.388064,-116.973421,41
2023-2024,TAMMANY HIGH SCHOOL,LEWISTON INDEPENDENT DISTRICT,IDAHO,ID,LEWISTON,ID,160186000711,1600711,46.358173,-116.929196,41
2023-2024,A Neil DeAtley Career Technical Education Center,LEWISTON INDEPENDENT DISTRICT,IDAHO,ID,LEWISTON,ID,160186001119,1601119,46.38953,-116.974573,41
2023-2024,MADISON SENIOR HIGH SCHOOL,MADISON DISTRICT,IDAHO,ID,REXBURG,ID,160192000341,1600341,43.806063,-111.823942,32
2023-2024,MARSH VALLEY HIGH SCHOOL,MARSH VALLEY JOINT DISTRICT,IDAHO,ID,ARIMO,ID,160195000347,1600347,42.580727,-112.181468,42
2023-2024,MARSING HIGH SCHOOL,MARSING JOINT DISTRICT,IDAHO,ID,MARSING,ID,160198000352,1600352,43.541528,-116.813237,42
2023-2024,MCCALL-DONNELLY HIGH SCHOOL,MCCALL-DONNELLY JOINT SCHOOL DISTRICT,IDAHO,ID,MCCALL,ID,160203000354,1600354,44.905569,-116.104035,33
2023-2024,HEARTLAND HIGH SCHOOL,MCCALL-DONNELLY JOINT SCHOOL DISTRICT,IDAHO,ID,MCCALL,ID,160203000740,1600740,44.90727,-116.102491,33
2023-2024,EAGLE HIGH SCHOOL,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,EAGLE,ID,160210000318,1600318,43.700813,-116.401167,21
2023-2024,MERIDIAN HIGH SCHOOL,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,MERIDIAN,ID,160210000372,1600372,43.613737,-116.416251,21
2023-2024,EAGLE ACADEMY,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,EAGLE,ID,160210000466,1600466,43.69458,-116.336867,21
2023-2024,CENTENNIAL HIGH SCHOOL,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,BOISE,ID,160210000674,1600674,43.650274,-116.336759,12
2023-2024,MERIDIAN ACADEMY,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,MERIDIAN,ID,160210000714,1600714,43.606686,-116.362967,21
2023-2024,MERIDIAN TECHNICAL CHARTER HIGH SCHOOL,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,MERIDIAN,ID,160210000759,1600759,43.639108,-116.37338,21
2023-2024,ADA PROFESSIONAL-TECHNICAL CENTER,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,MERIDIAN,ID,160210000789,1600789,43.613737,-116.416251,21
2023-2024,MOUNTAIN VIEW HIGH SCHOOL,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,MERIDIAN,ID,160210000802,1600802,43.58556,-116.368013,21
2023-2024,MERIDIAN MEDICAL ARTS CHARTER,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,MERIDIAN,ID,160210000804,1600804,43.639218,-116.372448,21
2023-2024,CENTRAL ACADEMY HIGH SCHOOL,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,MERIDIAN,ID,160210000903,1600903,43.659975,-116.375522,21
2023-2024,ROCKY MOUNTAIN HIGH SCHOOL,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,MERIDIAN,ID,160210000985,1600985,43.653421,-116.411996,21
2023-2024,RENAISSANCE HIGH SCHOOL,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,MERIDIAN,ID,160210001000,1601000,43.595051,-116.378312,21
2023-2024,OWYHEE HIGH SCHOOL,JOINT SCHOOL DISTRICT NO. 2,IDAHO,ID,MERIDIAN,ID,160210001158,1601158,43.638664,-116.481704,41
2023-2024,MIDDLETON HIGH SCHOOL,MIDDLETON DISTRICT,IDAHO,ID,MIDDLETON,ID,160213000377,1600377,43.718752,-116.65147,41
2023-2024,MT HARRISON HIGH SCHOOL,MINIDOKA COUNTY JOINT DISTRICT,IDAHO,ID,HEYBURN,ID,160219000158,1600158,42.557011,-113.763468,32
2023-2024,MINICO SENIOR HIGH SCHOOL,MINIDOKA COUNTY JOINT DISTRICT,IDAHO,ID,RUPERT,ID,160219000385,1600385,42.605948,-113.723063,41
2023-2024,MOSCOW HIGH SCHOOL,MOSCOW DISTRICT,IDAHO,ID,MOSCOW,ID,160222000394,1600394,46.731646,-116.996668,32
2023-2024,MOUNTAIN HOME SR HIGH SCHOOL,MOUNTAIN HOME DISTRICT,IDAHO,ID,MOUNTAIN HOME,ID,160225000397,1600397,43.130449,-115.685718,32
2023-2024,NAMPA SENIOR HIGH SCHOOL,NAMPA SCHOOL DISTRICT,IDAHO,ID,NAMPA,ID,160234000514,1600514,43.560431,-116.574606,22
2023-2024,SKYVIEW HIGH SCHOOL,NAMPA SCHOOL DISTRICT,IDAHO,ID,NAMPA,ID,160234000515,1600515,43.544913,-116.555513,22
2023-2024,IDAHO CENTER OF ADVANCED TECHNOLOGY,NAMPA SCHOOL DISTRICT,IDAHO,ID,NAMPA,ID,160234000790,1600790,43.566263,-116.514183,22
2023-2024,COLUMBIA HIGH SCHOOL,NAMPA SCHOOL DISTRICT,IDAHO,ID,NAMPA,ID,160234000870,1600870,43.566263,-116.514183,22
2023-2024,NEW PLYMOUTH HIGH SCHOOL,NEW PLYMOUTH DISTRICT,IDAHO,ID,NEW PLYMOUTH,ID,160237000736,1600736,43.969071,-116.819178,42
2023-2024,MALAD SENIOR HIGH SCHOOL,ONEIDA COUNTY DISTRICT,IDAHO,ID,MALAD CITY,ID,160249000433,1600433,42.179761,-112.240449,43
2023-2024,IDAHO YOUTH CHALLENGE ACADEMY FALL,OROFINO JOINT DISTRICT,IDAHO,ID,OROFINO,ID,160252001057,1601057,46.49811,-115.797985,43
2023-2024,IDAHO YOUTH CHALLENGE ACADEMY SPRING,OROFINO JOINT DISTRICT,IDAHO,ID,OROFINO,ID,160252001059,1601059,46.49811,-115.797985,43
2023-2024,PARMA HIGH SCHOOL,PARMA DISTRICT,IDAHO,ID,PARMA,ID,160255000451,1600451,43.789904,-116.934399,42
2023-2024,PAYETTE HIGH SCHOOL,PAYETTE JOINT DISTRICT,IDAHO,ID,PAYETTE,ID,160258000454,1600454,44.06704,-116.925365,32
2023-2024,NEW HORIZON HIGH SCHOOL,POCATELLO DISTRICT,IDAHO,ID,POCATELLO,ID,160264000468,1600468,42.890681,-112.47066,13
2023-2024,HIGHLAND HIGH SCHOOL,POCATELLO DISTRICT,IDAHO,ID,POCATELLO,ID,160264000472,1600472,42.908525,-112.42607,13
2023-2024,POCATELLO HIGH SCHOOL,POCATELLO DISTRICT,IDAHO,ID,POCATELLO,ID,160264000478,1600478,42.862818,-112.454082,13
2023-2024,CENTURY HIGH SCHOOL,POCATELLO DISTRICT,IDAHO,ID,POCATELLO,ID,160264000646,1600646,42.80779,-112.372264,41
